old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
festival-orb-effects	Stage-level escalation system	KEEP	components/infrastructure/ui/global/dna-orb	Stage-level escalation system		CLASSNAME	high	dna-orb component's stage-effects.ts pure function drives all visual params
festival-orb-effects	Growing orb with dynamic bubble boundary	KEEP	components/infrastructure/ui/global/dna-orb	Growing orb with dynamic bubble boundary			high	dna-orb component's orb radius affects Matter.js bubble physics boundary
festival-orb-effects	Breathing pulse animation	KEEP	components/infrastructure/ui/global/dna-orb	Breathing pulse animation			high	dna-orb breathing animation, observed by fan on Discovery
festival-orb-effects	Orbital particles	KEEP	components/infrastructure/ui/global/dna-orb	Orbital particles			high	dna-orb orbital particle rendering
festival-orb-effects	Light rays	KEEP	components/infrastructure/ui/global/dna-orb	Light rays			high	dna-orb light ray rendering
festival-orb-effects	Shockwave rings on follow	KEEP	components/infrastructure/ui/global/dna-orb	Shockwave rings on follow			high	dna-orb shockwave burst on follow action
festival-orb-effects	Comet trail on absorption	KEEP	components/infrastructure/ui/global/dna-orb	Comet trail on absorption			high	dna-orb absorption comet trail
festival-orb-effects	Ground glow	KEEP	components/infrastructure/ui/global/dna-orb	Ground glow			high	dna-orb ground glow gradient
festival-orb-effects	Color palette accumulation	KEEP	components/infrastructure/ui/global/dna-orb	Color palette accumulation			high	dna-orb accumulated hue palette feeds effects
festival-orb-effects	Vortex flow trails inside the orb	KEEP	components/infrastructure/ui/global/dna-orb	Vortex flow trails inside the orb			high	dna-orb inner particle trails
festival-orb-effects	Nebula fill layers	KEEP	components/infrastructure/ui/global/dna-orb	Nebula fill layers			high	dna-orb nebula gradient layers
festival-orb-effects	Strobe flash on follow	KEEP	components/infrastructure/ui/global/dna-orb	Strobe flash on follow			high	dna-orb strobe flash on pulse()
festival-orb-effects	Beat sync pulsation	KEEP	components/infrastructure/ui/global/dna-orb	Beat sync pulsation			high	dna-orb beat-synced modulation of rays/orbitals
festival-orb-effects	Orbital comet tails	KEEP	components/infrastructure/ui/global/dna-orb	Orbital comet tails			high	dna-orb orbital tail rendering
festival-orb-effects	Unit test coverage for stage effects	OUT:delete					high	no user actor; unit-test inventory for stage-effects.ts module
festival-orb-effects	Unit test coverage for OrbRenderer state	OUT:delete					high	no user actor; unit-test inventory for OrbRenderer
festival-orb-effects	Unit test coverage for AbsorptionAnimator comet trail	OUT:delete					high	no user actor; unit-test inventory for AbsorptionAnimator
user-home	User Home Area Data Model	KEEP	components/entity/user	User Home Area Data Model		CLASSNAME	medium	Home is a field on the User entity (proto/db/entity.Home struct); entity invariant, always true
user-home	Create User with Home	KEEP	components/usecase/user/create	Create User with Home			high	UserUseCase.Create accepting optional home
user-home	Update Home RPC	KEEP	components/usecase/user/update-home	Update Home RPC			high	UserUseCase.UpdateHome response/state change
user-home	Home included in User retrieval	KEEP	components/usecase/user/get	Home included in User retrieval			high	UserUseCase.Get response includes home field
user-home	Frontend home area persistence via RPC	KEEP	stories/set-home-area	Home area persists across onboarding, settings, and dashboard		CLASSNAME	medium	spans onboarding/settings/dashboard routes via UserStore; multi-step goal across screens (story proposal)
user-home	Unified Home Area Selector Component	KEEP	components/infrastructure/ui/global/user-home-selector	Unified home area selector		CLASSNAME	high	user-home-selector component shared across onboarding, settings, and All Nearby
user-home	Home area i18n namespace	KEEP	components/infrastructure/ui/global/user-home-selector	Home area i18n namespace			medium	copy displayed within the user-home-selector component
pwa-install-banner	Banner Visible to Authenticated Non-Installed Users After Onboarding	KEEP	components/infrastructure/ui/global/pwa-install-banner	Banner Visible to Authenticated Non-Installed Users After Onboarding			high	pwa-install-banner visibility gating
