old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
argocd-gateway-deployment	Cluster-Level Application	OUT:delete					high	cluster-app Application syncs Namespaces from k8s/cluster/; pure ArgoCD deploy mechanics, not product behavior
argocd-gateway-deployment	Gateway-Level Application	OUT:delete					high	gateway-app Application syncs Gateway/HTTPRoute/Policy from k8s/namespaces/gateway; deploy mechanics only
argocd-gateway-deployment	Backend Application	OUT:delete					high	backend-app Application syncs Deployment/Service/Policies; deploy mechanics, no product behavior
argocd-gateway-deployment	GitOps Synchronization	OUT:delete					high	argocd app sync mechanics for cloud-provisioning commits; no product behavior
argocd-gateway-deployment	Application Dependency Ordering	OUT:delete					high	cluster-app to gateway-app/backend-app sync-wave ordering; ArgoCD scheduling mechanics only
argocd-gateway-deployment	Application Status Visibility	OUT:runbook					high	operator-facing `argocd app get <app-name>` status procedure; not product behavior
argocd-gateway-deployment	Rollback Capability	OUT:runbook					high	operator-facing `argocd app rollback <app-name> <revision>` procedure; not product behavior
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	OUT:design-doc					high	argocd-server replica count / image-updater-controller replicas=0 is a GKE Autopilot cost decision, not product behavior
argocd-gateway-deployment	dev overlay is unaffected	OUT:design-doc					high	companion overlay replica-count decision preserving dev iteration speed; deployment topology, not product behavior
atlas-operator	Atlas Operator SHALL be installed in the GKE cluster	OUT:runbook					high	Helm-chart install of AtlasMigration CRD controller; cluster operator installation, not product behavior
atlas-operator	Migrations SHALL be stored as ConfigMap	OUT:runbook					high	Kustomize configMapGenerator packaging of migration SQL files; deployment mechanics only
atlas-operator	AtlasMigration CRD SHALL connect as postgres user	OUT:runbook					high	AtlasMigration CRD DB connection/auth (urlFrom.secretKeyRef, PSC routing); infra plumbing, not product behavior
atlas-operator	Migrations SHALL create the app schema and grant permissions	OUT:runbook					high	first migration's `app` schema bootstrap + IAM SA grants; DB provisioning, not an entity invariant of the product domain
atlas-operator	Backend repository SHALL host an Atlas migration prod overlay	OUT:runbook					high	k8s/atlas/overlays/prod/ directory precondition for the backend-migrations ArgoCD Application; deployment structure only
cloud-sql-connector	Authenticate via Cloud SQL Connector	OUT:runbook					high	cloudsqlconn.Dialer + pgx IAM-auth wiring for non-local ENVIRONMENT; backend infra connectivity, no product behavior
cloud-sql-connector	Standard Connection for Local	OUT:runbook					high	standard pgx TCP connection for local dev; backend infra, no product behavior
cloud-sql-connector	Database schema SHALL be configurable via environment variable	OUT:runbook					high	DATABASE_SCHEMA env var controlling the pgx DSN search_path; connection config, not a product-facing data semantic
cloud-sql-connector	Configuration Validation	OUT:runbook					high	startup validation that InstanceConnectionName is present; process-boot config check, no product behavior
cloud-sql-connector	A standalone Auth Proxy Deployment SHALL exist in dev for local access	OUT:runbook					high	cloud-sql-proxy Deployment for dev-only local DB access; infra convenience, no product behavior
consumer-poison-queue-alerting	Poison Queue consumer emits ERROR logs	OUT:runbook					medium	requirement's own subject is the ERROR-log emission feeding app-error-log-alerting; the ack/no-reprocess message-routing semantic it references is a Watermill retry-to-POISON-stream behavior owned by the event-consumer spec (out of this batch), not introduced here
consumer-poison-queue-alerting	NATS POISON stream lag alert	OUT:runbook					high	Cloud Monitoring alert policy on POISON stream lag with Slack/Chat notification; ops alerting, no user actor and no product-facing contract
cube-css-lint-plugin	Plugin registers all rules under the `cube/` namespace	OUT:lint					high	stylelint-plugin-cube-css rule-registration/namespacing mechanics; tooling convention, not product behavior
cube-css-lint-plugin	Plugin is a local ESM package	OUT:lint					high	frontend/stylelint-plugin-cube-css/ packaging as local ESM dir; build tooling convention only
cube-css-lint-plugin	Each rule has comprehensive test coverage	OUT:lint					high	vitest test-coverage requirement for stylelint-plugin-cube-css rules; test-inventory convention, not product behavior
cube-css-lint-plugin	Shared layer context utility	OUT:lint					high	getLayerContext(node) PostCSS helper used internally by the lint plugin; implementation utility, not product behavior
cube-css-token-enforcement	`cube/require-token-variables` enforces `var()` for design token properties	OUT:lint					high	stylelint rule cube/require-token-variables enforcing var() over literals; authoring-convention lint rule, not product behavior
cube-css-token-enforcement	`calc()` expressions must contain at least one `var()`	OUT:lint					high	stylelint rule extension for calc() expressions; lint-rule detail, not product behavior
cube-css-token-enforcement	Structural values bypass token enforcement	OUT:lint					high	stylelint rule exemption list (0, auto, none, currentColor, etc.); lint-rule configuration, not product behavior
cube-css-token-enforcement	Token definition layers are excluded	OUT:lint					high	stylelint rule layer-exclusion for reset/tokens/global layers; lint-rule scoping, not product behavior
cube-css-token-enforcement	Duration and easing properties are token-enforced	OUT:lint					high	stylelint rule property-list extension to transition-duration/animation-duration; lint-rule config, not product behavior
cube-css-token-enforcement	Configurable property list	OUT:lint					high	stylelint rule options schema (properties: [...]); plugin configurability, not product behavior
design-system	Design Token Definition	OUT:design-doc					high	src/styles/tokens.css custom-property values (color/typography/spacing tokens); visual design-token catalogue, not a functional UI/API behavior
design-system	Display Font Loading	OUT:design-doc					high	font preconnect + font-display:swap loading strategy for Righteous/Poppins; performance/loading implementation choice, not product behavior
design-system	Type-scale minimum legibility floor	OUT:design-doc					medium	--step--2 token floor value in tokens.css; a design-token constraint like the sibling Design Token Definition requirement, not a functional UI behavior
frontend-hosting	Container image build pipeline	OUT:runbook					high	GitHub Actions multi-stage Docker build (Node 22 + Caddy 2 Alpine) tagging/pushing to Artifact Registry; CI mechanics, no product behavior
frontend-hosting	Kubernetes deployment configuration	OUT:runbook					high	frontend namespace Deployment/Service sizing (replicas, CPU/memory, spot nodeSelector); k8s manifest mechanics, no product behavior
frontend-hosting	HTTPS ingress via Gateway API	OUT:runbook					high	HTTPRoute/external-gateway/api-gateway-cert-map provisioning for the frontend Service; infra topology, no product behavior
frontend-hosting	GitOps deployment automation	OUT:runbook					high	ArgoCD Application watching cloud-provisioning/k8s/namespaces/frontend/overlays/dev with auto-sync/prune; deploy automation, no product behavior
frontend-hosting	DNS and TLS infrastructure provisioning	OUT:runbook					high	Pulumi-provisioned DNS A record / DNS Authorization / CertificateMapEntry for dev.liverty-music.app; infra provisioning, no product behavior
frontend-hosting	Caddy SHALL serve `/config.json` with no-store header	OUT:design-doc					medium	Caddyfile Cache-Control/Content-Type header rule for /config.json is a webserver caching-header implementation detail supporting the already-kept runtime-config ConfigMap mechanism, not a user-facing API contract itself
frontend-hosting	Post-deploy smoke verification SHALL assert the SPA renders	OUT:runbook					high	Playwright post-deploy smoke check gating promotion between environments; CI/CD verification mechanic, no product behavior
k8s-resource-right-sizing	Dev environment resource requests use Standard GKE minimums	OUT:runbook					high	per-container CPU/memory request sizing (fan-api, event-consumer, argocd-application-controller, etc.) for dev cost minimization; operational sizing, no product behavior
