old_spec	old_req_name	current_disposition	current_rationale
app-error-log-alerting	Gemini client-cancelled errors classified as client error	OUT:lint	Error-classification convention in the Gemini infra layer's error handling interceptor; no user actor
app-error-log-alerting	Infrastructure layer preserves original error types	OUT:lint	rdb.toAppErr error-wrapping/errors.Is convention in the database infra layer; no user actor
argocd-gateway-deployment	Cluster-Level Application	OUT:delete	no user actor; ArgoCD cluster-app deploy mechanics
argocd-gateway-deployment	Gateway-Level Application	OUT:delete	no user actor; ArgoCD gateway-app deploy mechanics
argocd-gateway-deployment	Backend Application	OUT:delete	no user actor; ArgoCD backend-app deploy mechanics
argocd-gateway-deployment	GitOps Synchronization	OUT:delete	no user actor; GitOps sync mechanics
argocd-gateway-deployment	Application Dependency Ordering	OUT:delete	no user actor; ArgoCD app sync ordering
argocd-gateway-deployment	Application Status Visibility	OUT:runbook	no user actor; operator-facing argocd app get status procedure
argocd-gateway-deployment	Rollback Capability	OUT:runbook	no user actor; operator rollback procedure
argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	OUT:design-doc	no user actor; GKE Autopilot pod-cost technology decision
argocd-gateway-deployment	dev overlay is unaffected	OUT:design-doc	no user actor; companion overlay technology decision
atlas-operator	Atlas Operator SHALL be installed in the GKE cluster	OUT:runbook	no user actor; cluster operator installation detail
atlas-operator	Migrations SHALL be stored as ConfigMap	OUT:runbook	no user actor; Kustomize ConfigMap mechanics
atlas-operator	AtlasMigration CRD SHALL connect as postgres user	OUT:runbook	no user actor; DB connection/auth mechanics
atlas-operator	Migrations SHALL create the app schema and grant permissions	OUT:runbook	no user actor; schema bootstrap mechanics
atlas-operator	Backend repository SHALL host an Atlas migration prod overlay	OUT:runbook	no user actor; kustomize overlay/ArgoCD sync mechanics
backend-otel-instrumentation	External HTTP client tracing via otelhttp transport	OUT:design-doc	telemetry cross-cutting concern; no user actor
backend-otel-instrumentation	Zitadel gRPC client tracing via otelgrpc	OUT:design-doc	telemetry cross-cutting concern; no user actor
backend-otel-instrumentation	UseCase spans for CPU-intensive business logic	OUT:design-doc	telemetry cross-cutting concern naming BuildMerkleTree/FilterNewConcerts/PersistArtists; no user actor
backend-otel-instrumentation	Application metrics	OUT:design-doc	telemetry cross-cutting concern; no user actor
