change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	ConcertSearcher executes a two-step Gemini call sequence per Search invocation	OUT:design-doc	Decisions D10	removed-block	none	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 1 tools MUST be {GoogleSearch, URLContext} together; no schema	OUT:design-doc	already-covered	removed-block	none	D3 already stated this verbatim
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 1 emits a per-field XML envelope with `<tour>` and `<standalone>` blocks	OUT:design-doc	already-covered	removed-block	none	D5 already covered the XML shape and empty-element rule
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Go-side verbatim parse extracts title, source_url, venue, country, and raw date/time strings	OUT:design-doc	Decisions D6	removed-block	none	added unparseable-input handling + Step2 schema/admin_area contract
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 1 slice envelopes are merged by concatenation, not URL grouping	OUT:design-doc	Decisions D4	removed-block	none	added merge-by-concatenation + all-slices-fail fallback
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 2 receives only the JSON-coercion-relevant fields	OUT:design-doc	Decisions D6	removed-block	none	added schema field list + admin_area local-form contract
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 2 tools MUST be empty; responseJSONSchema MUST be set	OUT:design-doc	Decisions D2	removed-block	none	added invariant guard mention
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	Step 2's coerced output is joined back to EventDraft by index	OUT:design-doc	Decisions D11	removed-block	none	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	SearchMetadata exposes Step1Grounded and Step2Parse	OUT:design-doc	Decisions D11	removed-block	none	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	A/B harness emits per-step sub-objects in raw response files	OUT:runbook	Migration Plan	removed-block	none	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-grounded-extract-and-coerce	cmd/smoke-diff reports per-event evaluation breakdown for a single smoke run	OUT:runbook	Migration Plan	removed-block	none	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-searcher-config	GCPConfig exposes per-step Gemini search model fields	OUT:design-doc	Decisions D1	deleted-file+dir	removed-new-capability	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-searcher-config	Helper methods resolve per-step model with env-var precedence over defaults	OUT:design-doc	Decisions D1/D2	deleted-file+dir	removed-new-capability	
2026-05-25-redesign-concert-searcher-grounded-extract	gemini-searcher-config	Config passes per-step models through DI into gemini.Config	OUT:design-doc	Decisions D1	deleted-file+dir	removed-new-capability	added DI wiring + constructor empty-model guard
2026-02-20-secret-manager	deployment-infrastructure	Dedicated CD Namespace	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	Decision 2 already names the external-secrets namespace
2026-02-20-secret-manager	secret-management	GCP Secret Manager provisioning	OUT:runbook	Decision 4	deleted-file+dir	removed-new-capability	added inline KubernetesComponent + requireSecret() detail
2026-02-20-secret-manager	secret-management	IAM access control for secrets	OUT:runbook	Decision 3	deleted-file+dir	removed-new-capability	added least-privilege phrasing
2026-02-20-secret-manager	secret-management	External Secrets Operator deployment	OUT:runbook	Decision 2	deleted-file+dir	removed-new-capability	added CRD names
2026-02-20-secret-manager	secret-management	ClusterSecretStore configuration	OUT:runbook	Decision 3	deleted-file+dir	removed-new-capability	added store name + Ready condition
2026-02-20-secret-manager	secret-management	ExternalSecret for backend secrets	OUT:runbook	Decisions Decision 4b	deleted-file+dir	removed-new-capability	new Decision 4b added
2026-02-20-secret-manager	secret-management	Backend Deployment secret consumption	OUT:runbook	Decisions Decision 1 / Decision 4b	deleted-file+dir	removed-new-capability	
2026-02-20-secret-manager	secret-management	Secret rotation propagation	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 5 + Risks maxUnavailable:0 already covered it
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Error log detection per workload	OUT:runbook	Decision 2	removed-block	none	added filter field list + WARN-does-not-fire
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Notification rate limiting	OUT:runbook	already-covered	removed-block	none	Goals + Risks already state the 12h rate limit
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Incident auto-close	OUT:runbook	already-covered	removed-block	none	Risks already states autoClose=3600s
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Error context in alert labels	OUT:runbook	already-covered	removed-block	none	Decision 5 already covers labelExtractors
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Error Reporting API enabled	OUT:runbook	already-covered	removed-block	none	Decision 6 already covers this
2026-03-03-monitoring-app-error-log	app-error-log-alerting	Infrastructure as Code	OUT:runbook	already-covered	removed-block	none	Decision 4 already covers the Pulumi component pattern
2026-03-26-refactor-concert-search	concert-search-internals	Usecase layer SHALL NOT import infrastructure packages	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 2 (CentroidResolver) already covers it
2026-03-26-refactor-concert-search	concert-search-internals	Search status marking SHALL use defer pattern	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 1 already covers it verbatim
2026-03-26-refactor-concert-search	concert-search-internals	Time-dependent tests SHALL use testing/synctest	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 3 already covers it
2026-03-26-refactor-concert-search	concert-search-internals	resolveUserID SHALL NOT be duplicated	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 4 already covers it
2026-03-26-refactor-concert-search	concert-search-internals	Entity construction SHALL use domain methods	OUT:lint	Decisions §5	deleted-file+dir	removed-new-capability	new Decision 5 added
2026-03-19-standardize-infra-test-and-error-handling	entity-test-coverage	Interface Possible errors completeness	OUT:lint	already-covered	removed-block	none	Context/Goals already state the 6-interface gap and the goal
2026-03-19-standardize-infra-test-and-error-handling	entity-test-coverage	Implementation error code consistency	OUT:lint	already-covered	removed-block	none	Decision 2 + Goals already cover it
