change	old_cap	req_name	scen_n	cap_purpose
identity-ekyc-jpki	identity-ekyc	JPKI account verification via Pocket Sign Verify	3	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	Verified-person dedupe via Pocket Sign `User.id`	2	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	現況確認 (revocation / attribute-change re-check)	1	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	Per-person limit signal and mixed populations	2	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	Verification lane, per-event requirement, and fallback	3	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	Relationship to the ④ covered-ticket identity	1	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
identity-ekyc-jpki	identity-ekyc	Privacy — data minimization and deletion	2	"Identity eKYC binds an account to a **verified real person** — via マイナンバーカード
公的個人認証 (JPKI) using **Pocket Sign (PocketSign Verify)** — so bulk/industrial
scalping (many accounts per person, bot armies"
official-resale	official-resale	List a ticket for resale	3	"Official, face-value resale lets a fan who can no longer attend hand their
issued ticket back for a sanctioned face-value re-sale, so no seat is wasted and
no scalping or person-to-person payment ever"
official-resale	official-resale	Resale deadline	2	"Official, face-value resale lets a fan who can no longer attend hand their
issued ticket back for a sanctioned face-value re-sale, so no seat is wasted and
no scalping or person-to-person payment ever"
official-resale	official-resale	Ticket sales require complete event info	1	"Official, face-value resale lets a fan who can no longer attend hand their
issued ticket back for a sanctioned face-value re-sale, so no seat is wasted and
no scalping or person-to-person payment ever"
