old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
admin-rpc-server	Dedicated admin Connect server	OUT:design-doc					high	server/port topology (admin vs consumer Connect server) is deployment architecture, not an API contract or UI/entity behavior
admin-rpc-server	Shared server construction to prevent interceptor drift	OUT:design-doc					high	internal factory pattern ensuring identical interceptor chains; implementation architecture, not product behavior
admin-rpc-server	Dedicated admin API ingress host	OUT:design-doc					high	hostname/DNS/certificate/Kubernetes Service ingress topology is infra provisioning
aurelia-reactivity	Watch-based reactive observation	OUT:lint					high	Aurelia @watch decorator usage convention; framework-usage coding style, no distinct product behavior
aurelia-reactivity	Computed property caching	OUT:lint					high	Aurelia @computed decorator usage convention; coding style for getter memoization
aurelia-reactivity	Batched multi-property updates	OUT:lint					high	batch() usage convention to coalesce DOM updates; coding style, same rendered output
aurelia-reactivity	Observable for side-effect properties	OUT:lint					high	Aurelia @observable decorator usage convention; coding style for change handlers
aurelia-reactivity	Collection observation via native Set binding	OUT:lint					high	template-binding convention (Set.has() vs wrapper method) for Aurelia observation; coding style
authentication	User ID Propagation	KEEP	components/entity/user	User ID Propagation			medium	authenticated requests carry the caller identity (JWT sub -> external_id) used to resolve the User entity; this is the authorization/identification mechanism every authenticated RPC relies on, not internal plumbing
authentication	Email Verified Claim Injection	OUT:design-doc					high	Zitadel Action vendor-config wiring; rationale states no current feature consumes the claim (dormant capability), not yet product behavior
authentication	JWKS Caching	OUT:design-doc					high	JWKS refresh-interval caching is a performance/implementation choice (explicitly excluded per pass1-prompt example), not an API contract
authentication	Token Validation Performance	OUT:design-doc					high	P95<100ms latency SLA is a performance-only implementation target, explicitly excluded from openspec scope
auto-concert-discovery	Circuit Breaker on Consecutive Failures	KEEP	components/usecase/concert/search-new-concerts	Circuit Breaker on Consecutive Failures			high	background discovery pipeline behavior (stop processing further artists after 3 consecutive SearchNewConcerts failures) is explicitly in-scope background behavior of the discovery usecase
auto-concert-discovery	Job Always Exits Successfully	OUT:runbook					high	CronJob exit-code semantics for Kubernetes job-completion reporting; operational procedure with no product-observable difference
auto-concert-discovery	Job-Specific Dependency Injection	OUT:design-doc					high	lightweight DI initializer for the batch job (no HTTP server/interceptors); DI wiring, explicitly excluded implementation choice
auto-concert-discovery	Consumer JetStream Delivery Policy	OUT:design-doc					high	NATS JetStream DeliverNew consumer configuration; messaging-infra implementation detail, no product-observable behavior difference
auto-concert-discovery	Consumer JetStream Acknowledgement Policy	OUT:design-doc					high	NATS JetStream AckSync configuration for pod-shutdown safety; messaging-infra implementation detail
brand-vocabulary	Entity Namespace Mirrors Protobuf Names	OUT:lint					high	mechanical i18n key-path derivation rule from protobuf names; dev-facing naming convention, the displayed text itself is specified elsewhere
bulk-insert-unnest	Bulk artist creation via unnest	OUT:design-doc					high	repository-layer SQL insert technique (unnest arrays) with identical observable result (artists created, IDs returned); performance-only implementation choice
bulk-insert-unnest	Concert bulk insert via unnest	OUT:design-doc					high	repository-layer SQL insert technique; performance-only implementation choice, no behavior change
concert-service	GKE Gateway timeout for ConcertService	OUT:design-doc					high	Gateway backend policy timeoutSec value tuned to the handler timeout; infra configuration, not a product API contract
connect-rpc-cors	CORS Middleware for Connect-RPC	OUT:design-doc					high	cross-cutting CORS handling; pass1-prompt tie-break rule states telemetry/cors -> OUT explicitly
connect-rpc-cors	Allowed Origins Configuration	OUT:design-doc					high	CORS allowed-origins env config; covered by the same explicit cors -> OUT tie-break rule
connect-rpc-cors	Connect-RPC Protocol Headers	OUT:design-doc					high	Connect protocol header allowlist for CORS; covered by the cors -> OUT tie-break rule
connect-rpc-cors	Authorization Header Support	OUT:design-doc					high	CORS header allowlist entry for Authorization; covered by the cors -> OUT tie-break rule
connect-rpc-cors	CORS Validation at Startup	OUT:runbook					high	startup warning log when CORS_ALLOWED_ORIGINS is unset; operational diagnostic, covered by cors -> OUT tie-break rule
email-provider	Zitadel SMTP configuration via Pulumi	OUT:design-doc					high	zitadel.SmtpConfig Pulumi resource provisioning Postmark SMTP; infra provisioning
email-provider	Mail subdomain DNS records for DKIM authentication	OUT:design-doc					high	DKIM TXT / Return-Path CNAME DNS records across Cloudflare and GCP Cloud DNS; infra provisioning
email-provider	ZitadelConfig interface extension	OUT:lint					high	TypeScript interface field requirement (postmarkServerApiToken); compile-time code convention
email-provider	SmtpConfig component isolation	OUT:design-doc					high	src/zitadel/components/smtp.ts code-organization pattern; implementation structure, not product behavior
email-provider	Environment-specific Postmark Server separation	OUT:runbook					high	per-environment Postmark API token separation stored in Pulumi ESC; operational credential management
entity-store-layer	Per-Entity Store Ownership	OUT:design-doc					high	frontend store architecture mandate (per-entity ownership, no auth-branching, use of the shared cache primitive); internal state-management design, not a distinct UI/API contract
festival-orb-effects	Unit test coverage for stage effects	OUT:delete					high	unit-test inventory for stage-effects.ts; explicitly excluded test-inventory category
festival-orb-effects	Unit test coverage for OrbRenderer state	OUT:delete					high	unit-test inventory for OrbRenderer; explicitly excluded test-inventory category
festival-orb-effects	Unit test coverage for AbsorptionAnimator comet trail	OUT:delete					high	unit-test inventory for AbsorptionAnimator; explicitly excluded test-inventory category
frontend-router-query-params	Route loading hooks read query parameters via RouteNode	OUT:lint					high	RouteNode vs window.location coding convention for testability; same query params are read either way, no observable behavior change
frontend-store-cache	Shared stale-while-revalidate cache primitive	OUT:design-doc					high	stale-while-revalidate caching primitive is a performance/caching-strategy implementation choice, explicitly excluded example in pass1-prompt
frontend-store-cache	In-flight request coalescing	OUT:design-doc					high	fetch-coalescing mechanics of the internal cache primitive; performance-only implementation detail
frontend-store-cache	Explicit invalidation on mutations	OUT:design-doc					high	cache-invalidation wiring between mutations and cached reads; internal to the caching primitive, the underlying data-freshness requirement (if any) lives in the relevant usecase specs
frontend-store-cache	Caching scope is limited to audited read resources	OUT:design-doc					high	internal scoping decision of which RPC resources use the cache primitive; implementation detail
gemini-searcher-config	GCPConfig exposes per-step Gemini search model fields	OUT:design-doc					high	per-step Gemini model config fields/env-vars; DI/config wiring, no product-observable behavior difference
gemini-searcher-config	Helper methods resolve per-step model with env-var precedence over defaults	OUT:design-doc					high	config resolver helper-method precedence order; internal config-wiring implementation detail
gemini-searcher-config	Config passes per-step models through DI into gemini.Config	OUT:design-doc					high	DI wiring of resolved model config into gemini.Config; explicitly excluded implementation choice
gemini-searcher-config	Configurable search-cache TTL with env-var precedence over default	OUT:design-doc					high	search-cache TTL configurability is internal config plumbing; the actual freshness/discovery behavior lives in the concert-search usecase, not this config-exposure requirement
gemini-searcher-config	Configurable discovery-skip window with env-var precedence over default	OUT:design-doc					high	discovery-skip window configurability is internal config plumbing, same reasoning as the TTL requirement
goroutine-leak-detection	Detected goroutine leaks raise an alert	OUT:runbook					high	operations alerting on goroutine leak profile; explicitly excluded observability/operational-procedure category
goroutine-leak-detection	Leak detection complements existing consumer health signals	OUT:runbook					high	documentation of alerting scope/blind spots for operators; operational procedure
http-retry	HTTP retry on transient errors	OUT:design-doc					high	generic outbound HTTP client retry/backoff policy shared across multiple external API clients (Maps, fanart.tv, Last.fm, MusicBrainz, Gemini); cross-cutting resilience implementation choice with no single entity/usecase home
http-retry	Retry-After header respect	OUT:design-doc					high	HTTP Retry-After header parsing as a minimum backoff; HTTP client implementation detail
http-retry	Context cancellation during retry	OUT:design-doc					high	retry-loop context-cancellation mechanics; HTTP client implementation detail
http-retry	Request body replay for retried POST requests	OUT:design-doc					high	POST body replay across retry attempts; HTTP client implementation detail
http-retry	Independent context per Gemini API retry	OUT:design-doc					high	context.WithoutCancel per-attempt timeout mechanics for the Gemini caller; implementation detail
http-retry	Backoff max interval aligned with Google recommendation	OUT:design-doc					high	backoff MaxInterval tuning per vendor documentation; implementation/technology-choice detail
http-retry	Diagnostic capture of error response body	OUT:runbook					high	bounded error-body capture attached to apperr for log diagnostics; explicitly excluded observability-plumbing category
