old_spec	old_req_name	scen_idx	scen_hash	scen_title	routing	verified_by
admin-area-normalization	Admin Area Normalization Function	0	b01e20d1	Japanese prefecture name to ISO code	FOLLOW_PARENT	
admin-area-normalization	Admin Area Normalization Function	1	f03d3522	English prefecture name to ISO code	FOLLOW_PARENT	
admin-area-normalization	Admin Area Normalization Function	2	71b43924	Unrecognized input	FOLLOW_PARENT	
admin-area-normalization	Admin Area Normalization Function	3	c05344fb	Empty or whitespace-only input	FOLLOW_PARENT	
admin-area-normalization	Country Code Extraction	0	99845cce	Extract country code from subdivision	FOLLOW_PARENT	
admin-area-normalization	Country Code Extraction	1	8a4ea153	Construct structured Home from normalization result	FOLLOW_PARENT	
admin-area-normalization	Normalization in Concert Discovery Pipeline	0	e6d727a3	Gemini returns recognizable admin_area	FOLLOW_PARENT	
admin-area-normalization	Normalization in Concert Discovery Pipeline	1	adae6ddc	Gemini returns unrecognizable admin_area	FOLLOW_PARENT	
admin-area-normalization	Normalization in Concert Discovery Pipeline	2	2b00e2fc	Gemini prompt unchanged	FOLLOW_PARENT	
admin-area-normalization	Existing Data Migration	0	6386e6ef	Known prefecture migrated	FOLLOW_PARENT	
admin-area-normalization	Existing Data Migration	1	b47eb7b7	Unknown value set to NULL	FOLLOW_PARENT	
admin-concert-management	Admin concert operations are served by a single ConcertService	0	85765f38	Admin concert service identity	FOLLOW_PARENT	
admin-concert-management	Admin concert operations are served by a single ConcertService	1	a3e6c3ef	No collision with the consumer concert service	FOLLOW_PARENT	
admin-concert-management	Admin lists every published concert	0	3440615c	List returns all published concerts	FOLLOW_PARENT	
admin-concert-management	Admin lists every published concert	1	bde1172a	Pending concerts are excluded from List	FOLLOW_PARENT	
admin-concert-management	Admin hard-deletes a published concert	0	3e45f7db	Delete removes the concert and cascades	FOLLOW_PARENT	
admin-concert-management	Admin hard-deletes a published concert	1	eed9c855	Delete records a suppression entry	FOLLOW_PARENT	
admin-concert-management	Admin hard-deletes a published concert	2	132b8941	Delete is unconditional	FOLLOW_PARENT	
admin-concert-management	Admin hard-deletes a published concert	3	aefbb68c	Delete is idempotent	FOLLOW_PARENT	
admin-concert-management	Admin hard-deletes a published concert	4	b30acc63	Malformed event id is rejected	FOLLOW_PARENT	
admin-concert-management	Admin console presents approved concerts grouped by artist and series	0	a608e891	Concerts shown grouped by artist then series	FOLLOW_PARENT	
admin-concert-management	Admin console presents approved concerts grouped by artist and series	1	7a6b76b9	Expanding a series reveals its events	FOLLOW_PARENT	
admin-concert-management	Admin console presents approved concerts grouped by artist and series	2	d23132ef	Delete requires confirmation in a modal dialog	FOLLOW_PARENT	
admin-concert-management	Approve resolves duplicate-event conflicts via a resolution selector	0	2d51342a	First approve of a duplicate returns a conflict	FOLLOW_PARENT	
admin-concert-management	Approve resolves duplicate-event conflicts via a resolution selector	1	cd6df9af	Approve with KEEP_EXISTING resolves the conflict	FOLLOW_PARENT	
admin-concert-management	Approve resolves duplicate-event conflicts via a resolution selector	2	9831688f	Approve with ADOPT_STAGED resolves the conflict	FOLLOW_PARENT	
admin-concert-management	Approve resolves duplicate-event conflicts via a resolution selector	3	d0b3b142	Non-duplicate approve is unaffected by the selector	FOLLOW_PARENT	
admin-console	Bundle isolation from the consumer SPA	0	3d576f62	Consumer page loads no admin code	FOLLOW_PARENT	
admin-console	Bundle isolation from the consumer SPA	1	bad13fd3	Consumer bundle size unchanged	FOLLOW_PARENT	
admin-console	Authentication via the admin org with Google Workspace IDP	0	021cd233	Internal developer signs in	FOLLOW_PARENT	
admin-console	Authentication via the admin org with Google Workspace IDP	1	f7c3d042	Non-Workspace account cannot enter	FOLLOW_PARENT	
admin-console	Authentication via the admin org with Google Workspace IDP	2	43ddfbd7	Org scope drives the login policy	FOLLOW_PARENT	
admin-console	Authenticated route guard	0	ac83e893	Unauthenticated access is redirected	FOLLOW_PARENT	
admin-console	Authenticated route guard	1	b03d6874	Callback completes the session	FOLLOW_PARENT	
admin-console	Post-login welcome placeholder	0	39c89845	Welcome page after login	FOLLOW_PARENT	
admin-console	Dedicated source directory with an enforced import boundary	0	524ea571	Cross-import fails lint	FOLLOW_PARENT	
admin-console	Dedicated source directory with an enforced import boundary	1	c6b0fb9c	Shared code is importable by both	FOLLOW_PARENT	
admin-console-hosting	Dedicated container image and Kubernetes workload	0	8df9bb2f	Independent workloads	FOLLOW_PARENT	
admin-console-hosting	Dedicated container image and Kubernetes workload	1	b0b4ec32	Isolated config reload	FOLLOW_PARENT	
admin-console-hosting	Dedicated hostname on the shared external gateway	0	c1ea8ca5	Admin hostname routes to admin workload	FOLLOW_PARENT	
admin-console-hosting	Dedicated hostname on the shared external gateway	1	b6d0261a	Consumer hostname unaffected	FOLLOW_PARENT	
admin-console-hosting	Per-host runtime config delivery	0	daf1fb6f	Admin receives admin configuration	FOLLOW_PARENT	
admin-console-hosting	Per-host runtime config delivery	1	5f594c99	Shared config contract preserved	FOLLOW_PARENT	
admin-console-hosting	Admin-org OIDC application provisioning	0	705e9d97	Admin OIDC app exists per environment	FOLLOW_PARENT	
admin-console-hosting	Admin-org OIDC application provisioning	1	007ea75a	Consumer application untouched	FOLLOW_PARENT	
admin-console-hosting	TLS certificate and DNS for the admin hostname	0	169fb247	Admin hostname is reachable over TLS	FOLLOW_PARENT	
admin-console-hosting	GitOps delivery for the admin image	0	4ce4bcc6	Admin image is auto-reconciled	FOLLOW_PARENT	
admin-rpc-server	Dedicated admin Connect server	0	308415bd	Admin service served only on the admin port	FOLLOW_PARENT	
admin-rpc-server	Dedicated admin Connect server	1	71068fe5	Consumer service served only on the consumer port	FOLLOW_PARENT	
admin-rpc-server	Dedicated admin Connect server	2	700e263c	Both servers drain on shutdown	FOLLOW_PARENT	
admin-rpc-server	Boundary-level admin authorization	0	7c7a6279	Admin caller is allowed	FOLLOW_PARENT	
admin-rpc-server	Boundary-level admin authorization	1	017dc768	Authenticated non-admin caller is denied	FOLLOW_PARENT	
admin-rpc-server	Boundary-level admin authorization	2	bf8a3b36	Unauthenticated caller is denied	FOLLOW_PARENT	
admin-rpc-server	Boundary-level admin authorization	3	4e0b7ee7	Admin RPCs carry no per-method role check	FOLLOW_PARENT	
admin-rpc-server	Admin-only CORS allowlist	0	7c31c9e1	Admin origin allowed on the admin server	FOLLOW_PARENT	
admin-rpc-server	Admin-only CORS allowlist	1	ed0084ac	Admin origin not required on the consumer server	FOLLOW_PARENT	
admin-rpc-server	Shared server construction to prevent interceptor drift	0	d4c2fb21	Both servers share the base interceptor chain	FOLLOW_PARENT	
admin-rpc-server	Dedicated admin API ingress host	0	f2250fd8	Admin API host routes to the admin server	FOLLOW_PARENT	
admin-rpc-server	Dedicated admin API ingress host	1	09907593	Consumer API host unchanged	FOLLOW_PARENT	
