old_spec	old_req_name	req_hash	scen_n	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
admin-area-normalization	Admin Area Normalization Function	745ee09a	4							p=2 n=0
admin-area-normalization	Country Code Extraction	8075e718	2							p=2 n=0
admin-area-normalization	Normalization in Concert Discovery Pipeline	9aaeab40	3							p=17 n=0
admin-area-normalization	Existing Data Migration	4ceec4f1	2							p=2 n=0
admin-concert-management	Admin concert operations are served by a single ConcertService	2f0bf05a	2							p=43 n=0
admin-concert-management	Admin lists every published concert	ff97963a	2							p=39 n=0
admin-concert-management	Admin hard-deletes a published concert	1696ac6d	5							p=74 n=0
admin-concert-management	Admin console presents approved concerts grouped by artist and series	d669c04f	3							p=49 n=0
admin-concert-management	Approve resolves duplicate-event conflicts via a resolution selector	f6d1c9b8	4							p=46 n=0
admin-console	Bundle isolation from the consumer SPA	f023d8fb	2							p=8 n=0
admin-console	Authentication via the admin org with Google Workspace IDP	60bc3dd8	3							p=15 n=0
admin-console	Authenticated route guard	94b1ecad	2							p=5 n=0
admin-console	Post-login welcome placeholder	68a19ed1	1							p=7 n=0
admin-console	Dedicated source directory with an enforced import boundary	b5f8099e	2							p=6 n=1
admin-console-hosting	Dedicated container image and Kubernetes workload	0dda3f5e	2							p=7 n=2
admin-console-hosting	Dedicated hostname on the shared external gateway	f962861e	2							p=9 n=0
admin-console-hosting	Per-host runtime config delivery	3b00a6af	2							p=10 n=1
admin-console-hosting	Admin-org OIDC application provisioning	feb5e79f	2							p=7 n=0
admin-console-hosting	TLS certificate and DNS for the admin hostname	8cd5c8c9	1							p=5 n=1
admin-console-hosting	GitOps delivery for the admin image	96c359ed	1							p=6 n=4
admin-rpc-server	Dedicated admin Connect server	80883ae5	3							p=17 n=0
admin-rpc-server	Boundary-level admin authorization	6ed0b179	4							p=17 n=0
admin-rpc-server	Admin-only CORS allowlist	8b4a9ff3	2							p=12 n=0
admin-rpc-server	Shared server construction to prevent interceptor drift	6ef2c816	1							p=6 n=0
admin-rpc-server	Dedicated admin API ingress host	67f580ba	3							p=11 n=2
admin-rpc-server	Admin console resolves the admin API host from runtime config	7e9236b3	2							p=16 n=0
