old_spec	old_req_name	current_disposition	current_rationale
admin-console	Bundle isolation from the consumer SPA	OUT:design-doc	No user actor directly; Vite/Rollup chunk-graph separation is a build architecture decision, a fan never observes bundle composition
admin-console	Dedicated source directory with an enforced import boundary	OUT:lint	No user actor; automated lint/CI check fails the build on src/ <-> admin/ cross-import
admin-rpc-server	Dedicated admin Connect server	OUT:design-doc	separate-port server topology; internal architecture, no user actor observes port separation
admin-rpc-server	Shared server construction to prevent interceptor drift	OUT:design-doc	internal interceptor-chain construction pattern; no user actor
admin-rpc-server	Dedicated admin API ingress host	OUT:design-doc	ingress/DNS/cert topology for admin host; infra architecture, no user actor
analytics-consent	Anonymous behaviour is merged into the identified profile on login	OUT:design-doc	posthog.identify() merge behavior is internal telemetry plumbing, not user-observed
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	OUT:runbook	Gateway/TLS/cert provisioning for the apex domain; deployment infra, no user actor.
apex-frontend-serving	Apex serving SHALL route to the `fan-web-app` frontend Service via HTTPRoute hostname matching	OUT:runbook	HTTPRoute hostname-matching wiring; deployment infra, no user actor.
apex-frontend-serving	Apex serving SHALL NOT use Cloudflare Proxy on initial deploy	OUT:runbook	DNS-proxy configuration decision; deployment infra, no user actor.
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	OUT:runbook	Pulumi resource-protection flagging; deployment infra, no user actor.
api-rate-limiting	Rate limiter interceptor placement	OUT:design-doc	Interceptor chain ordering is an implementation/architecture decision; no user actor.
api-rate-limiting	Rate limiter memory management	OUT:design-doc	Idle-entry eviction is an implementation detail; no user actor.
api-rate-limiting	Rate limit configuration via environment variables	OUT:design-doc	Environment-variable configuration mechanism; no user actor.
artist-image	Best Image Selection	OUT:design-doc	pure selection algorithm (BestByLikes); no user actor, subsumed by Fanart Proto Mapper's selection behavior
artist-image	Fanart Proto Mapper	OUT:design-doc	internal mapper layer (domain->proto conversion); no user actor, implementation detail
artist-image	Fanart Database Storage	OUT:design-doc	JSONB column/storage schema detail; no user actor
artist-image	ArtistImageResolver Interface	OUT:design-doc	internal Go interface for external image resolution; no user actor
artist-image	fanart.tv API Client	OUT:design-doc	external HTTP client implementation detail; no user actor
aurelia-reactivity	Watch-based reactive observation	OUT:lint	Framework-usage convention (@watch decorator); no user actor.
aurelia-reactivity	Computed property caching	OUT:lint	Framework-usage convention (@computed decorator); no user actor.
aurelia-reactivity	Batched multi-property updates	OUT:lint	Framework-usage convention (batch()); no user actor.
aurelia-reactivity	Observable for side-effect properties	OUT:lint	Framework-usage convention (@observable decorator); no user actor.
aurelia-reactivity	Collection observation via native Set binding	OUT:lint	Template-binding convention for Set.has(); no user actor.
aurelia-template-optimization	Keyed list rendering	OUT:lint	Aurelia 2 template/binding coding convention; no user actor, per spec Purpose
aurelia-template-optimization	Switch-based multi-branch conditionals	OUT:lint	Aurelia 2 template/binding coding convention; no user actor, per spec Purpose
aurelia-template-optimization	Show binding for frequently toggled elements	OUT:lint	Aurelia 2 template/binding coding convention; no user actor, per spec Purpose
aurelia-template-optimization	Class binding syntax for conditional CSS classes	OUT:lint	Aurelia 2 template/binding coding convention; no user actor, per spec Purpose
aurelia-template-optimization	Throttle binding behavior on continuous event handlers	OUT:lint	Aurelia 2 template/binding coding convention; no user actor, per spec Purpose
authentication	User ID Propagation	OUT:design-doc	internal request-context plumbing (external_id propagation); cross-cutting infra with no entity/usecase mapping
authentication	Email Verified Claim Injection	OUT:design-doc	"forward-looking Zitadel Action plumbing; rationale states \""no current feature requires it\"" -- no user actor yet"
authentication	JWKS Caching	OUT:design-doc	backend caching/performance implementation detail; no user actor
authentication	Token Validation Performance	OUT:design-doc	backend latency SLA implementation detail; no user actor
auto-concert-discovery	Circuit Breaker on Consecutive Failures	OUT:runbook	batch-job resilience mechanism; no user actor
auto-concert-discovery	Job Always Exits Successfully	OUT:runbook	CronJob exit-code semantics; no user actor
auto-concert-discovery	Job-Specific Dependency Injection	OUT:design-doc	DI/initialization architecture for the batch job; no user actor
auto-concert-discovery	Consumer JetStream Delivery Policy	OUT:design-doc	NATS JetStream consumer configuration; no user actor
auto-concert-discovery	Consumer JetStream Acknowledgement Policy	OUT:design-doc	NATS JetStream Ack configuration; no user actor
