change	old_cap	req_name	disposition	target_path	new_req_name	confidence	rationale
identity-ekyc-jpki	identity-ekyc	JPKI account verification via Pocket Sign Verify	KEEP	components/usecase/verified-identity/complete-verify	JPKI account verification via Pocket Sign Verify	medium	Result of IdentityVerificationUseCase.CompleteVerify: the Pocket Sign Verify API outcome sets verification_level to IDENTITY_VERIFIED.
identity-ekyc-jpki	identity-ekyc	Verified-person dedupe via Pocket Sign `User.id`	KEEP	components/entity/verified-identity	Verified-person dedupe via Pocket Sign `User.id`	medium	Always-true uniqueness invariant of the VerifiedIdentity entity (one active account per User.id), not the result of one call - entity per tie-break.
identity-ekyc-jpki	identity-ekyc	現況確認 (revocation / attribute-change re-check)	KEEP	components/usecase/verified-identity/re-check	現況確認 (revocation / attribute-change re-check)	high	Matches IdentityVerificationUseCase.ReCheck exactly (現況確認 liveness check).
identity-ekyc-jpki	identity-ekyc	Per-person limit signal and mixed populations	KEEP	components/entity/verified-identity	Per-person limit signal and mixed populations	medium	Describes the always-true scope of VerifiedIdentity.User.id (per-person vs per-account) consumed by lottery-application/ticket usecases - entity invariant.
identity-ekyc-jpki	identity-ekyc	Verification lane, per-event requirement, and fallback	KEEP	components/usecase/lottery-application/set-phase-verification-requirement	Verification lane, per-event requirement, and fallback	high	Matches LotteryUseCase.SetPhaseVerificationRequirement exactly (organizer marks a phase as requiring verified identity).
identity-ekyc-jpki	identity-ekyc	Relationship to the ④ covered-ticket identity	KEEP	components/usecase/lottery-application/apply	Relationship to the ④ covered-ticket identity	medium	Describes the ApplicantIdentity binding produced by LotteryApplicationUseCase.Apply - true-after-an-operation, so usecase per tie-break.
identity-ekyc-jpki	identity-ekyc	Privacy — data minimization and deletion	KEEP	components/entity/verified-identity	Privacy — data minimization and deletion	medium	Data-minimization retention rule is an always-true invariant of VerifiedIdentity; deletion scenario ties to Delete usecase - SPLIT-CANDIDATE, entity dominant.
official-resale	official-resale	List a ticket for resale	KEEP	components/usecase/resale-listing/create	List a ticket for resale	medium	Operation on the new ResaleListing entity (design.md); usecase method named from the requirement's verb, code follows the spec.
official-resale	official-resale	Resale deadline	KEEP	components/entity/resale-listing	Resale deadline	medium	Invariant of the ResaleListing entity that design.md introduces; entity is defined before its usecases.
official-resale	official-resale	Ticket sales require complete event info	KEEP	components/entity/event	Ticket sales require complete event info	high	start_time is a field/invariant of the existing Event entity; sellability is derived from it being set.
official-resale	official-resale	Withdraw a listing	KEEP	components/usecase/resale-listing/withdraw	Withdraw a listing	medium	Operation on the new ResaleListing entity (design.md); usecase method named from the requirement's verb, code follows the spec.
official-resale	official-resale	Resale is enabled by default with structural exclusions only	KEEP	components/entity/resale-listing	Resale is enabled by default with structural exclusions only	medium	Invariant of the ResaleListing entity that design.md introduces; entity is defined before its usecases.
official-resale	official-resale	Public resale marketplace with lottery-loser priority	KEEP	components/usecase/resale-listing/match	Public resale marketplace with lottery-loser priority	medium	Match-time behavior of the ResaleListing usecase (design.md entity); code follows the spec.
official-resale	official-resale	Two-leg money model at match time	KEEP	components/usecase/resale-listing/match	Two-leg money model at match time	medium	Match-time behavior of the ResaleListing usecase (design.md entity); code follows the spec.
official-resale	official-resale	Seller refund triggered on resale completion	KEEP	components/usecase/order/refund-order	Seller refund triggered on resale completion	medium	Refund path reuses the existing RefundOrderUseCase.RefundOrder rather than inventing a new one - tie-break to existing usecase.
official-resale	official-resale	Resale fee	KEEP	components/usecase/order/refund-order	Resale fee	medium	Fee is subtracted from the seller's RefundOrderUseCase.RefundOrder payout; same usecase as the refund-triggering requirement.
official-resale	official-resale	Buyer return policy on the final confirmation screen	KEEP	components/infrastructure/fan/web/route/order	Buyer return policy on the final confirmation screen	high	Explicitly 'the final order-confirmation screen' - matches the existing order route.
official-resale	official-resale	Covered-ticket re-bind on reissue	KEEP	components/usecase/resale-listing/match	Covered-ticket re-bind on reissue	medium	Match-time behavior of the ResaleListing usecase (design.md entity); code follows the spec.
official-resale	official-resale	Resold companion seat leaves the same-time-entry group	KEEP	components/entity/ticket-journey	Resold companion seat leaves the same-time-entry group	medium	Same-time-entry grouping/departure is a TicketJourney entity invariant (group membership), always-true regardless of trigger.
official-resale	official-resale	No double-seat or double-charge across lottery and resale	KEEP	components/usecase/resale-listing/match	No double-seat or double-charge across lottery and resale	medium	Match-time behavior of the ResaleListing usecase (design.md entity); code follows the spec.
official-resale	official-resale	Unsold listing returns to the holder	KEEP	components/usecase/resale-listing/expire	Unsold listing returns to the holder	medium	Operation on the new ResaleListing entity (design.md); usecase method named from the requirement's verb, code follows the spec.
official-resale	official-resale	Event cancellation or postponement while listed	KEEP	components/entity/resale-listing	Event cancellation or postponement while listed	medium	Invariant of the ResaleListing entity that design.md introduces; entity is defined before its usecases.
official-resale	official-resale	Anonymity and no person-to-person contact	KEEP	components/entity/resale-listing	Anonymity and no person-to-person contact	medium	Invariant of the ResaleListing entity that design.md introduces; entity is defined before its usecases.
optimize-dashboard-render-cost	dashboard-timetable-rendering	Timetable rendering cost is bounded and must not dominate the main thread	KEEP:MODIFIED	components/infrastructure/fan/web/route/dashboard	Timetable rendering cost is bounded and must not dominate the main thread	high	Already synced into the main spec by 1ca7c8b1 with identical text; kept as a MODIFIED delta so the change still carries its delta and archive stays a no-op.
optimize-dashboard-render-cost	dashboard-timetable-rendering	Highlighted card visuals must not drive continuous rendering work	KEEP:MODIFIED	components/infrastructure/fan/web/route/dashboard	Highlighted card visuals must not drive continuous rendering work	high	Already synced into the main spec by 1ca7c8b1 with identical text; kept as a MODIFIED delta so the change still carries its delta and archive stays a no-op.
organizer-antisocial-vetting	organizer-antisocial-exclusion	Organizer onboarding agreement includes an antisocial-forces exclusion clause	KEEP	components/usecase/organizer/get-or-create-onboarding	Organizer onboarding agreement includes an antisocial-forces exclusion clause	high	Onboarding-agreement acceptance is part of OnboardingUseCase.GetOrCreateOnboarding.
organizer-antisocial-vetting	organizer-antisocial-exclusion	Admin antisocial-forces check gates Organizer activation	KEEP	components/usecase/organizer/record-antisocial-check	Admin antisocial-forces check gates Organizer activation	medium	The admin records a check outcome (reviewer, timestamp, result) that gates activation; a distinct operation named from the requirement's verb, code follows the spec.
organizer-antisocial-vetting	organizer-antisocial-exclusion	Post-onboarding antisocial discovery triggers deactivation	KEEP	components/usecase/organizer/deactivate	Post-onboarding antisocial discovery triggers deactivation	high	Matches OrganizerUseCase.Deactivate exactly ('reusing the existing deactivation hook').
organizer-event-authoring-extensions	organizer-event-authoring	Rich media on a concert page	KEEP	components/entity/concert	Rich media on a concert page	medium	Gallery/video/link fields are always-true data on the Concert entity; page rendering is a consequence of the field, not a distinct operation.
organizer-event-authoring-extensions	organizer-event-authoring	Streaming and hybrid concerts	KEEP	components/entity/concert	Streaming and hybrid concerts	medium	Mode field (venue/online/hybrid) and the optional-venue rule are Concert entity invariants.
organizer-event-authoring-extensions	organizer-event-authoring	Discovery metadata	KEEP	components/entity/concert	Discovery metadata	medium	Category/keywords are new Concert entity fields; no existing concert search/ranking usecase in vocabulary.
organizer-event-authoring-extensions	organizer-event-authoring	Japan-idiomatic structured fields	KEEP	components/entity/concert	Japan-idiomatic structured fields	medium	注意事項/問い合わせ先/年齢制限 are new structured fields on the Concert entity.
organizer-event-authoring-extensions	organizer-event-authoring	Password-protected visibility	KEEP	components/entity/concert	Password-protected visibility	medium	PASSWORD is a new value of Concert's existing visibility field, alongside PUBLIC/UNLISTED.
organizer-event-authoring-extensions	organizer-event-authoring	Per-event notes and lineup detail	KEEP	components/entity/event	Per-event notes and lineup detail	medium	Per-Event (date-specific) description is explicitly an Event-entity field; lineup ordering is a secondary facet - SPLIT-CANDIDATE with Concert.
organizer-event-authoring-extensions	organizer-event-authoring	Scheduled publish	KEEP	components/usecase/concert/publish	Scheduled publish	high	Matches ConcertAuthoringUseCase.Publish exactly (draft becomes PUBLISHED and emits CONCERT.created).
payments-legal-compliance	payments-legal-compliance	Livemode launch gate	KEEP	components/infrastructure/fan/api/payment/livemode-gate	Livemode launch gate	medium	Proposed contract under the vocabulary's infrastructure/fan/api/payment/<contract> template; gates Stripe test-vs-live mode.
payments-legal-compliance	payments-legal-compliance	Total-price display (総額表示)	KEEP	components/infrastructure/fan/web/route/order	Total-price display (総額表示)	medium	Order route is the terminal purchase screen where price/grand-total is finalized; also applies at lottery-apply - SPLIT-CANDIDATE, order chosen dominant.
payments-legal-compliance	payments-legal-compliance	特定商取引法 final confirmation	KEEP	components/infrastructure/fan/web/route/order	特定商取引法 final confirmation	high	Explicitly the final-confirmation screen before payment commit - the order route.
payments-legal-compliance	payments-legal-compliance	PCI SAQ A — no PAN handling	KEEP	components/infrastructure/fan/api/payment/no-pan-handling	PCI SAQ A — no PAN handling	medium	Proposed contract under infrastructure/fan/api/payment/<contract>; describes the Stripe Elements delegation boundary.
payments-legal-compliance	payments-legal-compliance	Receipts and qualified invoices (適格請求書)	KEEP	components/infrastructure/fan/api/payment/receipts	Receipts and qualified invoices (適格請求書)	medium	Proposed contract under infrastructure/fan/api/payment/<contract> for receipt/invoice issuance.
payments-legal-compliance	payments-legal-compliance	Cross-border data-transfer disclosure and retention	KEEP	components/infrastructure/fan/web/global/legal-document	Cross-border data-transfer disclosure and retention	medium	Privacy-disclosure content is rendered by the existing legal-document component.
progressive-route-rendering	non-blocking-menu-navigation	Conformance is structural, not per-route discipline	OUT:design-doc			high	How routes obtain the behavior (shared registered hooks, declared data, no per-route wiring) is code structure, not product behavior; proposal.md 'Extract the shared lifecycle mechanism' already states it and design.md will carry it.
progressive-route-rendering	route-rendering-lifecycle	Render state is reflected after the route's first render	KEEP	components/infrastructure/fan/web/global/route-rendering-lifecycle	Render state is reflected after the route's first render	medium	Part of the shared route-rendering mechanism applied to every data-fetching route, not one specific route.
progressive-route-rendering	route-rendering-lifecycle	An expensive render is preceded by a frame paint	KEEP	components/infrastructure/fan/web/global/route-rendering-lifecycle	An expensive render is preceded by a frame paint	medium	Part of the shared route-rendering mechanism applied to every data-fetching route.
progressive-route-rendering	route-rendering-lifecycle	Long lists render only what is in view	KEEP	components/infrastructure/fan/web/global/route-rendering-lifecycle	Long lists render only what is in view	medium	Part of the shared route-rendering mechanism (viewport-scoped list rendering) applied across routes.
progressive-route-rendering	route-rendering-lifecycle	Scroll position survives navigation away and back	KEEP	components/infrastructure/fan/web/global/route-rendering-lifecycle	Scroll position survives navigation away and back	medium	Part of the shared route-rendering mechanism (scroll save/restore) applied across routes.
progressive-route-rendering	route-rendering-lifecycle	The rendering contract is provided, not re-implemented	OUT:design-doc			high	How routes obtain the behavior (shared registered hooks, declared data, no per-route wiring) is code structure, not product behavior; proposal.md 'Extract the shared lifecycle mechanism' already states it and design.md will carry it.
refactor-shared-ui-design-system	shared-ui-design-system	Single source of design tokens	KEEP	components/infrastructure/fan/web/global/design-tokens	Single source of design tokens	medium	Fan-web design-tokens is the vocabulary anchor for the shared token source; also consumed by admin/organizer consoles - SPLIT-CANDIDATE, fan chosen as canonical.
refactor-shared-ui-design-system	shared-ui-design-system	Shared reusable UI primitives	KEEP	components/infrastructure/fan/web/global/ui-primitives	Shared reusable UI primitives	medium	No existing primitives-library surface in vocabulary; proposed new global surface for the shared button/card/form-field/etc. set.
refactor-shared-ui-design-system	shared-ui-design-system	Console persistent navigation with no dead-end screens	KEEP	components/infrastructure/admin/web/global/admin-shell	Console persistent navigation with no dead-end screens	medium	Console shell contract; written under each console audience (no shared slot).
refactor-shared-ui-design-system	shared-ui-design-system	Responsive and accessible primitives	KEEP	components/infrastructure/fan/web/global/ui-primitives	Responsive and accessible primitives	medium	Same proposed primitives surface as 'Shared reusable UI primitives'.
refactor-shared-ui-design-system	shared-ui-design-system	Consumer and console bundle isolation preserved	OUT:design-doc			high	Bundle/chunk-graph isolation is a bundler (build-tooling) implementation decision, not user-observable product behavior.
replace-handrolled-with-platform	offscreen-work-suspension	Continuous work suspends when its surface is not rendered	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Continuous work suspends when its surface is not rendered	medium	Generic cross-surface animation-suspension contract (canvas/physics surfaces like dna-orb, live-highway); proposed global surface carrying the old capability name.
replace-handrolled-with-platform	offscreen-work-suspension	Overlapping suspension conditions do not cancel each other	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Overlapping suspension conditions do not cancel each other	medium	Same shared offscreen-work-suspension contract; multiple suspension conditions composing on one surface.
replace-handrolled-with-platform	offscreen-work-suspension	Resuming continues the work rather than advancing it	KEEP	components/infrastructure/fan/web/global/offscreen-work-suspension	Resuming continues the work rather than advancing it	medium	Same shared offscreen-work-suspension contract; resume-from-state-not-time-elapsed rule.
