old_spec	req	scen	lines	disposition	primary_target	confidence	evidence	reviewer	note	product_hits	nonproduct_hits	score	band
admin-area-normalization	4	11	84	SPLIT	components/entity/venue	medium	Normalization + extraction are entity invariants (venue, user); pipeline requirement is a usecase; migration requirement is historic (already executed)			23	0	23	KEEP?
admin-concert-management	5	16	176	SPLIT	components/usecase/concert/list	medium	3 KEEP (list/delete/approve usecases) + 1 OUT:design-doc (service naming) + 1 NEEDS_HUMAN (admin console grouped-view screen has no cataloged route/global surface)		admin console frontend is not yet represented in vocabulary.tsv; needs human decision on where its UI requirements land	251	0	251	KEEP?
admin-console	5	10	103	SPLIT	stories/sign-in-to-admin-console	medium	3 of 5 requirements form one sign-in journey story (no admin app namespace exists yet in vocabulary); bundle isolation and import-boundary lint are build concerns			41	1	40	KEEP?
admin-console-hosting	6	10	107	OUT:runbook		high	All 6 reqs describe hosting/deploy infrastructure (image, Service, hostname, config delivery, OIDC app, TLS/DNS, GitOps) for the admin console; ops-only, no distinguishable product behavior		cloud-provisioning/docs/runbooks/admin-console-hosting.md	44	8	36	REVIEW
admin-rpc-server	6	15	135	OUT:design-doc		high	all 6 reqs are backend Connect-server topology, boundary authorization, CORS, ingress, and interceptor-construction architecture; PERMISSION_DENIED/host-resolution are standard RPC/infra patterns, not distinctive product contracts		backend/docs/design/admin-rpc-server.md	79	2	77	KEEP?
analytics-consent	6	11	104	SPLIT	components/infrastructure/ui/fan/route/settings	medium	2 of 6 reqs (Settings Analytics/Session-replay toggles) map to the settings route; the other 4 are telemetry/legal policy statements (opt-out default posture, anonymous capture, identify-merge, sensitive-data exclusion) with no single UI surface - tie-break routes telemetry to OUT		frontend analytics-policy design rationale (no existing doc file identified); not a spec surface	131	0	131	KEEP?
apex-frontend-serving	4	11	85	OUT:runbook		high	All four requirements are Gateway/DNS/TLS/Pulumi deployment infra for the apex domain.		cloud-provisioning/docs/runbooks/apex-frontend-serving.md	5	22	-17	OUT?
api-rate-limiting	5	12	92	OUT:design-doc		medium	All five requirements are backend self-protection/interceptor architecture, not fan-directed product behavior.		backend/docs/design/rate-limiting.md	21	4	17	REVIEW
app-error-log-alerting	14	31	267	SPLIT		high	All 14 reqs describe Cloud Monitoring alerting, notification routing, and internal error-handling/logging conventions for the on-call engineer; no fan/organizer/admin actor observes any of them (12 OUT:runbook, 2 OUT:lint)		cloud-provisioning/docs/runbooks/app-error-alerting.md	76	38	38	OUT?(plan)
app-shell-layout	12	43	327	SPLIT	components/infrastructure/ui/fan/global/app-shell	low	Mixed: several shell-chrome requirements (brand identity, page transitions) have no matching vocabulary target; two rows marked NEEDS_HUMAN.			146	12	134	KEEP?
argocd-deployment-alerts	5	12	71	OUT:runbook		high	all 5 requirements are ArgoCD Notifications-controller / Google Chat webhook alerting config; no fan/organizer actor		cloud-provisioning/docs/runbooks/argocd-deployment-alerts.md	30	46	-16	OUT?
argocd-gateway-deployment	9	16	104	SPLIT		high	no user actor; ArgoCD Application deployment topology (5 reqs) plus pod-cost overlay mechanics (2 reqs) and operator status/rollback procedures (2 reqs)		cloud-provisioning/k8s (ArgoCD deploy topology and pod-cost overlay mechanics, discard from openspec)	13	48	-35	OUT?
argocd-image-automation	8	16	114	OUT:delete		high	All 8 reqs describe ArgoCD Image Updater CI/deploy mechanics (polling, parameter overrides, rollback, failure retry) with no lasting product value once implemented			3	55	-52	OUT?
artist-auto-persist	3	5	40	KEEP	components/usecase/artist/list-top	high	All three requirements map to the ListTop/ListSimilar usecases' auto-persistence contract.			48	0	48	KEEP?
artist-discovery-dna-orb-ui	13	41	316	SPLIT	components/infrastructure/ui/fan/route/discovery	medium	Mostly KEEP across route/discovery and the dna-orb global component, plus one DROP:duplicate (bug-fix requirement already covered by artist-following).			327	1	326	KEEP?
artist-following	5	17	126	KEEP	components/usecase/follow/follow	high	All five requirements map to Follow/Unfollow/ListFollowed usecases or the artist-filter-bar/bottom-sheet UI.			237	0	237	KEEP?
artist-image	9	26	137	SPLIT	components/entity/artist	medium	4 KEEP (entity/artist x2, usecase/artist/sync-artist-image x2), 5 OUT:design-doc (mapper/storage/client/interface/selection algorithm are implementation detail)		backend/docs/design/fanart-integration.md	159	0	159	KEEP?
artist-image-ui	3	10	57	NEEDS_HUMAN	components/infrastructure/ui/fan/global/live-highway	low	All 3 reqs (event-card logo display, detail-sheet hero image, fanart propagation) describe real product UI but vocabulary has no ui/global entry for event-card or event-detail-sheet			90	1	89	KEEP?
artist-service-infrastructure	2	6	38	KEEP	components/entity/artist	medium	1 requirement targets entity/artist (Artist entity always/optionally carrying fanart data), 1 targets usecase/artist/search (multi-provider discovery); tied at 1 each, no single dominant target			54	0	54	KEEP?
atlas-operator	5	7	81	OUT:runbook		high	all 5 requirements are cluster/DB-migration operations with no user actor		cloud-provisioning/docs/runbooks/atlas-operator.md	18	41	-23	OUT?
aurelia-reactivity	5	10	75	OUT:lint		high	All five requirements are Aurelia 2 framework-usage conventions (decorators, batching, binding patterns) with no user actor.		frontend/docs/conventions/aurelia-reactivity.md	6	0	6	KEEP?
aurelia-template-optimization	8	17	106	OUT:lint		high	all 8 requirements are Aurelia 2 template/binding coding conventions (key.bind, switch.bind, show.bind, debounce/throttle, etc.); no user actor		frontend coding conventions doc (Aurelia 2 template/binding patterns)	46	0	46	KEEP?
